participant_id,session_id,xdf_filename,stream_name,channel_index,channel_label,channel_unit,is_true_emg,is_official_code_selected_index_0_or_1,sample_count,finite_count,nan_count,posinf_count,neginf_count,finite_fraction,mean,std,minimum,maximum,robust_range_p01_p99,constant_channel,near_constant_channel,qc_status
P013,S001,sub-P013_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,625460,625460,0,0,0,1.0,3772.3409268602527,11.932862825394524,3652.747314453125,3831.501953125,67.3994140625,False,False,PASS
P013,S001,sub-P013_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,625460,625460,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P013,S001,sub-P013_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,625460,625460,0,0,0,1.0,18.97911183452658,0.5449967427661898,15.712081909179688,20.489418029785156,2.8478762245178224,False,False,PASS
P013,S001,sub-P013_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,625460,625460,0,0,0,1.0,-38.654041110724805,9.36171904885243,-47.74076843261719,-17.68532943725586,23.47997951507569,False,False,PASS
P014,S001,sub-P014_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,626118,626118,0,0,0,1.0,3763.284375257586,10.647191521716051,3648.3515625,3783.150146484375,43.9560546875,False,False,PASS
P014,S001,sub-P014_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,626118,626118,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P014,S001,sub-P014_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,626118,626118,0,0,0,1.0,5.644152544886675,0.9788717147499062,-0.702272355556488,7.2349534034729,2.964002766609192,False,False,PASS
P014,S001,sub-P014_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,626118,626118,0,0,0,1.0,2.7809689294035715,0.6306596254347179,1.1346895694732666,6.6640143394470215,2.0951251375675204,False,False,PASS
P015,S001,sub-P015_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,590373,590373,0,0,0,1.0,3768.8406218399214,10.708159896961215,3665.93408203125,3789.010986328125,43.9560546875,False,False,PASS
P015,S001,sub-P015_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,590373,590373,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P015,S001,sub-P015_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,590373,590373,0,0,0,1.0,201.01081155503653,8.219930283321636,36.1959228515625,201.6666717529297,4.565740966796881,False,False,PASS
P015,S001,sub-P015_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,590373,590373,0,0,0,1.0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,True,True,CONSTANT
