relative_path,category,modality,sampling_rate,channels,data_shape,timestamps_shape
DEJA-VU/preprocessed/clean_P011_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[674907, 4]",[674907]
DEJA-VU/preprocessed/clean_P011_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[395536, 7]",[395536]
DEJA-VU/preprocessed/clean_P011_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[674073, 2]",[674073]
DEJA-VU/preprocessed/clean_P011_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[13180, 1]",[13180]
DEJA-VU/preprocessed/clean_P011_S002.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[612592, 4]",[612592]
DEJA-VU/preprocessed/clean_P011_S002.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[358943, 7]",[358943]
DEJA-VU/preprocessed/clean_P011_S002.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[612622, 2]",[612622]
DEJA-VU/preprocessed/clean_P011_S002.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[11965, 1]",[11965]
DEJA-VU/preprocessed/clean_P012_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[610298, 4]",[610298]
DEJA-VU/preprocessed/clean_P012_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[357593, 7]",[357593]
DEJA-VU/preprocessed/clean_P012_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[610295, 2]",[610295]
DEJA-VU/preprocessed/clean_P012_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[11919, 1]",[11919]
DEJA-VU/preprocessed/clean_P013_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[626151, 4]",[626151]
DEJA-VU/preprocessed/clean_P013_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[366890, 7]",[366890]
DEJA-VU/preprocessed/clean_P013_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[625460, 2]",[625460]
DEJA-VU/preprocessed/clean_P013_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12230, 1]",[12230]
DEJA-VU/preprocessed/clean_P014_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[626924, 4]",[626924]
DEJA-VU/preprocessed/clean_P014_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[367340, 7]",[367340]
DEJA-VU/preprocessed/clean_P014_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[626118, 2]",[626118]
DEJA-VU/preprocessed/clean_P014_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12244, 1]",[12244]
DEJA-VU/preprocessed/clean_P015_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[593151, 4]",[593151]
DEJA-VU/preprocessed/clean_P015_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[347540, 7]",[347540]
DEJA-VU/preprocessed/clean_P015_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[590373, 2]",[590373]
DEJA-VU/preprocessed/clean_P015_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[11585, 1]",[11585]
DEJA-VU/preprocessed/clean_P016_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[605614, 4]",[605614]
DEJA-VU/preprocessed/clean_P016_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[354893, 7]",[354893]
DEJA-VU/preprocessed/clean_P016_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[604882, 2]",[604882]
